"Probe","R_lowLM","P_lowLM","R_highLM","P_highLM","Gene"
"TC6_cox_hap2000199.hg.1",-0.265031396839909,"Not-Significant",0.649892530038511,"Significant","TAP1"
"TC6_dbb_hap3000132.hg.1",-0.162206248734936,"Not-Significant",0.595160231472291,"Significant","IER3"
"TC6_dbb_hap3000185.hg.1",-0.249801339985025,"Not-Significant",0.644209306859042,"Significant","TAP1"
"TC6_mann_hap4000121.hg.1",-0.162206248734936,"Not-Significant",0.595160231472291,"Significant","IER3"
"TC6_mann_hap4000167.hg.1",-0.239412769156449,"Not-Significant",0.645620887450498,"Significant","TAP1"
"TC6_mcf_hap5000174.hg.1",-0.249801339985025,"Not-Significant",0.644209306859042,"Significant","TAP1"
"TC6_qbl_hap6000133.hg.1",-0.0851780865319481,"Not-Significant",0.558564405836749,"Significant","IER3"
"TC6_qbl_hap6000187.hg.1",-0.239412769156449,"Not-Significant",0.645620887450498,"Significant","TAP1"
"TC6_ssto_hap7000123.hg.1",-0.162206248734936,"Not-Significant",0.595160231472291,"Significant","IER3"
"TC6_ssto_hap7000169.hg.1",-0.26617232950997,"Not-Significant",0.63970127178878,"Significant","TAP1"
