"Gene","Group"
"TNFSF13","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"TNFSF13B","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"ACTA1","HALLMARK_APICAL_JUNCTION"
"ACTB","HALLMARK_APICAL_JUNCTION"
"ACTC1","HALLMARK_APICAL_JUNCTION"
"ACTG1","HALLMARK_APICAL_JUNCTION"
"ACTG2","HALLMARK_APICAL_JUNCTION"
"ACTN1","HALLMARK_APICAL_JUNCTION"
"ACTN2","HALLMARK_APICAL_JUNCTION"
"ACTN3","HALLMARK_APICAL_JUNCTION"
"ACTN4","HALLMARK_APICAL_JUNCTION"
"ADAM15","HALLMARK_APICAL_JUNCTION"
"ADAM23","HALLMARK_APICAL_JUNCTION"
"ADAM9","HALLMARK_APICAL_JUNCTION"
"ADAMTS5","HALLMARK_APICAL_JUNCTION"
"ADRA1B","HALLMARK_APICAL_JUNCTION"
"AKT2","HALLMARK_APICAL_JUNCTION"
"AKT3","HALLMARK_APICAL_JUNCTION"
"ALOX15B","HALLMARK_APICAL_JUNCTION"
"AMH","HALLMARK_APICAL_JUNCTION"
"AMIGO1","HALLMARK_APICAL_JUNCTION"
"AMIGO2","HALLMARK_APICAL_JUNCTION"
"ARHGEF6","HALLMARK_APICAL_JUNCTION"
"ARPC2","HALLMARK_APICAL_JUNCTION"
"ATP1A3","HALLMARK_APICAL_JUNCTION"
"B4GALT1","HALLMARK_APICAL_JUNCTION"
"BAIAP2","HALLMARK_APICAL_JUNCTION"
"BMP1","HALLMARK_APICAL_JUNCTION"
"CADM2","HALLMARK_APICAL_JUNCTION"
"CADM3","HALLMARK_APICAL_JUNCTION"
"CALB2","HALLMARK_APICAL_JUNCTION"
"CAP1","HALLMARK_APICAL_JUNCTION"
"CD209","HALLMARK_APICAL_JUNCTION"
"CD274","HALLMARK_APICAL_JUNCTION"
"CD276","HALLMARK_APICAL_JUNCTION"
"CD34","HALLMARK_APICAL_JUNCTION"
"CD86","HALLMARK_APICAL_JUNCTION"
"CD99","HALLMARK_APICAL_JUNCTION"
"CDH1","HALLMARK_APICAL_JUNCTION"
"CDH11","HALLMARK_APICAL_JUNCTION"
"CDH15","HALLMARK_APICAL_JUNCTION"
"CDH3","HALLMARK_APICAL_JUNCTION"
"CDH4","HALLMARK_APICAL_JUNCTION"
"CDH6","HALLMARK_APICAL_JUNCTION"
"CDH8","HALLMARK_APICAL_JUNCTION"
"CDK8","HALLMARK_APICAL_JUNCTION"
